,URL,JOB_TITLE,SURL
0,https://www.dice.com/job-detail/1b94042b-20cc-4ea4-b022-070c7f77393e?searchlink=search%2F%3FcountryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26language%3Den&searchId=59d5b86a-3ebe-43fb-a1f7-3ad78ff53fad,Software Engineer,https://www.dice.com/job-detail/1b94042b-20cc-4ea4-b022-070c7f77393e?searchlink=search%2F
1,https://www.dice.com/job-detail/2cd8c3b6-92f6-469a-8ebf-8545c8548afc?searchlink=search%2F%3FcountryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26language%3Den&searchId=59d5b86a-3ebe-43fb-a1f7-3ad78ff53fad,PC LAN Technician,https://www.dice.com/job-detail/2cd8c3b6-92f6-469a-8ebf-8545c8548afc?searchlink=search%2F
2,https://www.dice.com/job-detail/18ba7679-29be-4cb3-a87f-24ed5e87d896?searchlink=search%2F%3FcountryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26language%3Den&searchId=59d5b86a-3ebe-43fb-a1f7-3ad78ff53fad,System Administrator II or III (DOE),https://www.dice.com/job-detail/18ba7679-29be-4cb3-a87f-24ed5e87d896?searchlink=search%2F
4,https://www.dice.com/job-detail/107b3000-4ee4-43cf-8048-a214fb6eb6bf?searchlink=search%2F%3FcountryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26language%3Den&searchId=59d5b86a-3ebe-43fb-a1f7-3ad78ff53fad,Systems Engineering Sr Analyst,https://www.dice.com/job-detail/107b3000-4ee4-43cf-8048-a214fb6eb6bf?searchlink=search%2F
5,https://www.dice.com/job-detail/c37f148b-ea7b-4603-a466-adbc31a71171?searchlink=search%2F%3FcountryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26language%3Den&searchId=59d5b86a-3ebe-43fb-a1f7-3ad78ff53fad,Sr Field Support Technician/Coordinator,https://www.dice.com/job-detail/c37f148b-ea7b-4603-a466-adbc31a71171?searchlink=search%2F
6,https://www.dice.com/job-detail/91ddd3a6-472c-48ad-8b71-627b289717e0?searchlink=search%2F%3FcountryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26language%3Den&searchId=59d5b86a-3ebe-43fb-a1f7-3ad78ff53fad,IT Field Support Technician,https://www.dice.com/job-detail/91ddd3a6-472c-48ad-8b71-627b289717e0?searchlink=search%2F
7,https://www.dice.com/job-detail/c6464843-0b12-45d4-a13e-11daae43621a?searchlink=search%2F%3FcountryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26language%3Den&searchId=59d5b86a-3ebe-43fb-a1f7-3ad78ff53fad,Cybersecurity Sr Analyst,https://www.dice.com/job-detail/c6464843-0b12-45d4-a13e-11daae43621a?searchlink=search%2F
8,https://www.dice.com/job-detail/7d981190-861a-42de-a97b-2fc4853e44c2?searchlink=search%2F%3FcountryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26language%3Den&searchId=59d5b86a-3ebe-43fb-a1f7-3ad78ff53fad,Staff Data Scientist - Data Ventures,https://www.dice.com/job-detail/7d981190-861a-42de-a97b-2fc4853e44c2?searchlink=search%2F
9,https://www.dice.com/job-detail/acbb342d-3d2f-485a-81ad-109b43f38eef?searchlink=search%2F%3FcountryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26language%3Den&searchId=59d5b86a-3ebe-43fb-a1f7-3ad78ff53fad,Security Assessor,https://www.dice.com/job-detail/acbb342d-3d2f-485a-81ad-109b43f38eef?searchlink=search%2F
10,https://www.dice.com/job-detail/6821bf0d-c63c-49da-ad74-893030030ef3?searchlink=search%2F%3FcountryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26language%3Den&searchId=59d5b86a-3ebe-43fb-a1f7-3ad78ff53fad,(USA) Software Engineer II,https://www.dice.com/job-detail/6821bf0d-c63c-49da-ad74-893030030ef3?searchlink=search%2F
